,First,Last,Nickname,Ht.,Wt.,Reach,Ht. (m),Wt. (kg),Reach. (cm),Stance,DOB,SLpM,Str.Acc.,SApM,Str.Def,TDAvg.,TDAcc.,TDDef.,Sub.Avg.,W,L,D
3227,Wataru,Sakata,,"5' 9""",195 lbs.,--,1.75,88.64,,Southpaw,"Mar11,1973",1.11,61.0,2.08,31.0,0.0,0.0,0.0,0.0,11,14,0
3228,Gokhan,Saki,The Rebel,"6' 0""",205 lbs.,"73.0""",1.83,93.18,185.42,Orthodox,"Oct19,1983",7.09,58.0,4.57,53.0,0.0,0.0,100.0,0.0,1,2,0
3229,Kazushi,Sakuraba,The Gracie Hunter,"6' 0""",185 lbs.,--,1.83,84.09,,Southpaw,"Jul14,1969",1.26,41.0,2.03,51.0,1.26,31.0,48.0,1.7,26,17,1
3230,Hayato,Sakurai,Mach,"5' 7""",168 lbs.,--,1.7,76.36,,Orthodox,"Aug24,1975",2.45,49.0,1.94,59.0,1.87,69.0,56.0,0.3,38,13,2
3231,Ryuta,Sakurai,,"5' 7""",183 lbs.,--,1.7,83.18,,Orthodox,--,1.8,48.0,3.44,58.0,0.52,100.0,36.0,1.6,24,24,6
3232,Justin,Salas,J-Bomb,"5' 8""",155 lbs.,"70.0""",1.73,70.45,177.8,Southpaw,"Mar13,1982",3.42,43.0,2.96,68.0,2.43,20.0,0.0,0.0,12,7,0
3233,Ivan,Salaverry,,"6' 0""",185 lbs.,--,1.83,84.09,,Orthodox,"Jan11,1971",3.01,47.0,1.19,76.0,0.49,18.0,36.0,2.5,14,9,0
3234,Roman,Salazar,El Gallito,"5' 7""",135 lbs.,--,1.7,61.36,,Orthodox,"Feb21,1988",1.95,39.0,2.89,57.0,1.77,18.0,50.0,0.0,10,6,0
3235,Luis,Saldana,,"5' 11""",145 lbs.,"73.0""",1.8,65.91,185.42,Orthodox,"Jan27,1991",5.16,50.0,3.65,60.0,0.64,17.0,44.0,0.2,16,7,1
3236,John,Salgado,Greco,"5' 10""",170 lbs.,--,1.78,77.27,,,--,0.99,50.0,1.86,40.0,0.0,0.0,50.0,0.0,4,8,1
3237,Muslim,Salikhov,King of Kung Fu,"5' 11""",170 lbs.,"70.0""",1.8,77.27,177.8,Orthodox,"Jun09,1984",3.36,51.0,2.94,62.0,1.27,40.0,73.0,0.0,19,5,0
